S21 dB20 X,S21 dB20 Y
35600000000,0.381483144
35700000000,0.368233481
35800000000,0.354966601
35900000000,0.341682782
36000000000,0.328382301
36100000000,0.315065429
36200000000,0.301732435
36300000000,0.288383587
36400000000,0.275019147
36500000000,0.261639375
36600000000,0.24824453
36700000000,0.234834867
36800000000,0.221410636
36900000000,0.207972088
37000000000,0.194519469
37100000000,0.181053023
37200000000,0.16757299
37300000000,0.154079609
37400000000,0.140573115
37500000000,0.127053743
37600000000,0.113521722
37700000000,0.099977281
37800000000,0.086420645
37900000000,0.072852037
38000000000,0.059271677
38100000000,0.045679785
38200000000,0.032076575
38300000000,0.018462262
38400000000,0.004837056
38500000000,-0.008798835
38600000000,-0.022445203
38700000000,-0.036101844
38800000000,-0.049768557
38900000000,-0.063445142
39000000000,-0.077131401
39100000000,-0.090827139
39200000000,-0.104532162
39300000000,-0.11824628
39400000000,-0.131969304
39500000000,-0.145701047
39600000000,-0.159441323
39700000000,-0.173189951
39800000000,-0.186946748
39900000000,-0.200711537
40000000000,-0.214484141
40100000000,-0.228264384
40200000000,-0.242052093
40300000000,-0.255847098
40400000000,-0.269649229
40500000000,-0.283458319
40600000000,-0.297274202
40700000000,-0.311096715
40800000000,-0.324925695
40900000000,-0.338760982
41000000000,-0.352602418
41100000000,-0.366449847
41200000000,-0.380303112
41300000000,-0.394162062
41400000000,-0.408026545
41500000000,-0.421896409
41600000000,-0.435771508
41700000000,-0.449651695
41800000000,-0.463536824
41900000000,-0.477426752
42000000000,-0.491321338
42100000000,-0.50522044
42200000000,-0.519123921
42300000000,-0.533031642
42400000000,-0.546943468
42500000000,-0.560859265
42600000000,-0.574778901
42700000000,-0.588702242
42800000000,-0.602629161
42900000000,-0.616559527
43000000000,-0.630493215
43100000000,-0.644430098
43200000000,-0.658370053
43300000000,-0.672312955
43400000000,-0.686258684
43500000000,-0.70020712
43600000000,-0.714158143
43700000000,-0.728111636
43800000000,-0.742067482
43900000000,-0.756025566
44000000000,-0.769985775
44100000000,-0.783947996
44200000000,-0.797912118
44300000000,-0.81187803
44400000000,-0.825845623
44500000000,-0.839814791
44600000000,-0.853785426
44700000000,-0.867757423
44800000000,-0.881730678
44900000000,-0.895705088
45000000000,-0.90968055
45100000000,-0.923656965
45200000000,-0.937634232
45300000000,-0.951612253
45400000000,-0.96559093
45500000000,-0.979570167
45600000000,-0.993549869
45700000000,-1.00752994
45800000000,-1.021510289
45900000000,-1.035490822
46000000000,-1.049471448
46100000000,-1.063452078
46200000000,-1.077432622
46300000000,-1.091412991
46400000000,-1.105393098
46500000000,-1.119372857
46600000000,-1.133352183
46700000000,-1.147330991
46800000000,-1.161309198
46900000000,-1.175286721
