S21 dB20 X,S21 dB20 Y
19100000000,-7.749369750537467
19200000000,-7.75987608660909
19300000000,-7.772850365629647
19400000000,-7.788978866800125
19500000000,-7.808429789085871
19600000000,-7.830828604523548
19700000000,-7.855325877630467
19800000000,-7.880743879988205
19900000000,-7.905774748313491
20000000000,-7.929194425572041
20100000000,-7.950057771441329
20200000000,-7.967844989430859
20300000000,-7.982539463992348
20400000000,-7.994626700248169
20500000000,-8.005015736591002
20600000000,-8.014893514057668
20700000000,-8.025533887521597
20800000000,-8.038089607854898
20900000000,-8.053402439447646
21000000000,-8.071863235125653
21100000000,-8.093348505893962
21200000000,-8.117244399811739
21300000000,-8.142553553087854
21400000000,-8.168063723680763
21500000000,-8.192548560551034
21600000000,-8.214965484151973
21700000000,-8.234619880061857
21800000000,-8.251271832726399
21900000000,-8.265170958287188
22000000000,-8.277015014809271
22100000000,-8.287838632464688
22200000000,-8.298847652223667
22300000000,-8.311223710130085
22400000000,-8.325930375524562
22500000000,-8.343553165522566
22600000000,-8.364202558869771
22700000000,-8.387497124421438
22800000000,-8.41263052452393
22900000000,-8.438508462250155
23000000000,-8.463931250374939
23100000000,-8.48778898365995
23200000000,-8.509239011854287
23300000000,-8.527836890043956
23400000000,-8.543604160738063
23500000000,-8.557023080311483
23600000000,-8.568960208098305
23700000000,-8.580527997877923
23800000000,-8.592906483511593
23900000000,-8.607150868307887
24000000000,-8.624017364569141
24100000000,-8.64383737461932
24200000000,-8.666462664491352
24300000000,-8.691292134526689
24400000000,-8.717373976363682
24500000000,-8.743565644907736
24600000000,-8.768720973285834
24700000000,-8.791874781345348
24800000000,-8.812394865657472
24900000000,-8.830079770669848
25000000000,-8.845188847469331
25100000000,-8.858400655772485
25200000000,-8.870705808571399
25300000000,-8.883249341506524
25400000000,-8.897145592694354
25500000000,-8.913296215025879
25600000000,-8.932240184106581
25700000000,-8.954064166551875
25800000000,-8.978389162026165
25900000000,-9.004434802438798
26000000000,-9.031150933302722
26100000000,-9.057390861463329
26200000000,-9.082097421847708
26300000000,-9.104470515435324
26400000000,-9.124092233239068
26500000000,-9.140990958803915
26600000000,-9.155635616245441
26700000000,-9.168862275831188
26800000000,-9.181742061147366
26900000000,-9.195409944301536
27000000000,-9.210880883952319
27100000000,-9.228882719550818
27200000000,-9.249735208500319
27300000000,-9.273296967390179
27400000000,-9.298989994490437
27500000000,-9.32589708787026
27600000000,-9.352914187854498
27700000000,-9.378930443097172
27800000000,-9.403006004867335
27900000000,-9.424519785670206
28000000000,-9.443265339320025
28100000000,-9.459482004055548
28200000000,-9.473817054251628
28300000000,-9.487224266789038
28400000000,-9.500813015164354
28500000000,-9.515670345183942
28600000000,-9.532683811982235
28700000000,-9.552395053958339
28800000000,-9.574909815485583
28900000000,-9.599880718856239
29000000000,-9.626566094820564
29100000000,-9.653953838757765
29200000000,-9.680927492876856
29300000000,-9.706446351786639
29400000000,-9.729710275759249
29500000000,-9.750283943693663
29600000000,-9.768163569207575
29700000000,-9.783776570884893
29800000000,-9.79791477206102
29900000000,-9.81161004022945
30000000000,-9.825970560165015
30100000000,-9.842002186246582
30200000000,-9.860444004186519
30300000000,-9.881646136229056
30400000000,-9.905511881800045
30500000000,-9.931514448695813
30600000000,-9.958785396812118
30700000000,-9.986258224055561
30800000000,-10.01284168336913
30900000000,-10.03759403417993
31000000000,-10.05987032028525
31100000000,-10.07942189521903
31200000000,-10.09643377858321
31300000000,-10.11149500819237
31400000000,-10.12550702748823
31500000000,-10.1395414548735
31600000000,-10.15466913570126
31700000000,-10.17178721456647
31800000000,-10.19147171900985
31900000000,-10.2138825969218
32000000000,-10.23873760522071
32100000000,-10.26536033209433
32200000000,-10.29279272431235
32300000000,-10.31995213821132
32400000000,-10.34580561929234
32500000000,-10.36953300774882
32600000000,-10.39065445084104
32700000000,-10.40910315520809
32800000000,-10.42523473690419
32900000000,-10.43977138471179
33000000000,-10.45368871177884
33100000000,-10.46806164268292
33200000000,-10.48389212934405
33300000000,-10.50194644759737
33400000000,-10.52262943448584
33500000000,-10.54591789417046
33600000000,-10.57136567028559
33700000000,-10.59817815113415
33800000000,-10.62534419177432
33900000000,-10.65179993079281
34000000000,-10.67659901599366
34100000000,-10.69906041806853
34200000000,-10.71887305376195
34300000000,-10.73614267977029
34400000000,-10.75137410448679
34500000000,-10.76539217113053
34600000000,-10.77921229015066
34700000000,-10.79387890129094
34800000000,-10.8102976460661
34900000000,-10.82908777130603
35000000000,-10.85048059481371
35100000000,-10.8742821841591
35200000000,-10.89990663431656
35300000000,-10.92647398147627
35400000000,-10.95295459973137
35500000000,-10.97833525436311
35600000000,-11.0017794910926
35700000000,-11.0227572074586
35800000000,-11.04112543293777
35900000000,-11.05714876021462
36000000000,-11.07145724265493
36100000000,-11.08494743356554
36200000000,-11.09864087186334
36300000000,-11.11352110153686
36400000000,-11.13037471925494
36500000000,-11.1496631315525
36600000000,-11.1714472270425
36700000000,-11.19537862618806
36800000000,-11.22075873520604
36900000000,-11.24665460980996
37000000000,-11.27205119904883
37100000000,-11.29601372240515
37200000000,-11.31783425537266
37300000000,-11.33714084384236
37400000000,-11.35395317608671
37500000000,-11.36867780674108
37600000000,-11.38204399437771
37700000000,-11.39498862240764
37800000000,-11.40850769898238
37900000000,-11.42349658793565
38000000000,-11.44060478170153
38100000000,-11.46013017481985
38200000000,-11.48197103316446
38300000000,-11.5056444574983
38400000000,-11.53036758405801
38500000000,-11.5551867439246
38600000000,-11.57913193324409
38700000000,-11.60137093322684
38800000000,-11.62133893697746
38900000000,-11.63882461577837
39000000000,-11.65400094373091
39100000000,-11.66739667286212
39200000000,-11.67981253611372
39300000000,-11.692194642698
39400000000,-11.70548358719931
39500000000,-11.72046266283281
39600000000,-11.73763077446873
39700000000,-11.75712147746149
39800000000,-11.77868254971396
39900000000,-11.80171934226818
40000000000,-11.82539445862493
40100000000,-11.84876487547499
40200000000,-11.87093381193747
40300000000,-11.89119237235134
40400000000,-11.90912888917709
40500000000,-11.92469121446043
40600000000,-11.93819260835074
40700000000,-11.95026128050979
40800000000,-11.96174067373824
40900000000,-11.9735552071344
41000000000,-11.98656197016245
41100000000,-12.00141202277696
41200000000,-12.01844465021649
41300000000,-12.03763282239813
41400000000,-12.05858984640353
41500000000,-12.08063500625984
41600000000,-12.10290688022456
41700000000,-12.12450369352561
41800000000,-12.14462779272689
41900000000,-12.16271066612226
42000000000,-12.17850013298737
42100000000,-12.19209764028438
42200000000,-12.20393995467661
42300000000,-12.2147294794569
42400000000,-12.22532215744815
42500000000,-12.23659014901535
42600000000,-12.24928126879366
42700000000,-12.26389764490976
42800000000,-12.28061414891399
42900000000,-12.29925201118622
43000000000,-12.31930985598137
43100000000,-12.34004915822065
43200000000,-12.36061599880451
43300000000,-12.38017968521343
43400000000,-12.39806514501332
43500000000,-12.41385804464989
43600000000,-12.42746790188451
43700000000,-12.4391396103617
43800000000,-12.4494132600571
43900000000,-12.45903721761525
44000000000,-12.46884804643383
44100000000,-12.47963568484897
44200000000,-12.492015094776
44300000000,-12.50632656266395
44400000000,-12.52258121177955
44500000000,-12.54046143763689
44600000000,-12.5593759539341
44700000000,-12.57855909881745
44800000000,-12.5971970402515
44900000000,-12.61455928126697
45000000000,-12.63011438458919
45100000000,-12.64361233881041
45200000000,-12.65512163684206
45300000000,-12.66501628013873
45400000000,-12.67391459644348
45500000000,-12.68257956616556
45600000000,-12.69179522066585
45700000000,-12.70223956587407
45800000000,-12.71437413867854
45900000000,-12.7283690863858
46000000000,-12.74407748147421
46100000000,-12.76106214941604
46200000000,-12.77867062668497
46300000000,-12.79614449627768
46400000000,-12.81274366351424
46500000000,-12.82786583475266
